Module,Registered_Students
COMP30010,79
IS40640,49
IS40640,49
COMP20020,98
Booked by School of CS (no other data available),
SCI30060,66
COMP41110,19
Vacant,Vacant
Vacant,Vacant
COMP41450 & COMP30120,143.0
COMP10130,112.0
COMP20070,107.0
COMP30080,139.0
COMP20110,103.0
STAT40150,0.0
COMP20010,108.0
Vacant,Vacant
Vacant,Vacant
COMP30010,79.0
Vacant,Vacant
COMP20020,98.0
COMP20130,74.0
Vacant,Vacant
Vacant,Vacant
COMP30070,84.0
Vacant,Vacant
Vacant,Vacant
COMP41450 & COMP30120,143.0
MATH10130,56.0
COMP30080,139.0
COMP20070,107.0
COMP10110,113.0
ENVB30110,83.0
Vacant,Vacant
COMP20010,108.0
Vacant,Vacant
Vacant,Vacant
MATH10200,96.0
COMP30070,84.0
Vacant,Vacant
COMP20110,103.0
COMP10110,113.0
COMP30220,38.0
Vacant,Vacant
Vacant,Vacant
COMP30010,79
IS40640,49
IS40640,49
COMP20020,98
Booked by School of CS (no other data available),
SCI30060,66
COMP41110,19
Vacant,Vacant
Vacant,Vacant
COMP41450 & COMP30120,143.0
COMP10130,112.0
COMP20070,107.0
COMP30080,139.0
COMP20110,103.0
STAT40150,0.0
COMP20010,108.0
Vacant,Vacant
Vacant,Vacant
COMP30010,79.0
Vacant,Vacant
COMP20020,98.0
COMP20130,74.0
Vacant,Vacant
Vacant,Vacant
COMP30070,84.0
Vacant,Vacant
Vacant,Vacant
COMP41450 & COMP30120,143.0
MATH10130,56.0
COMP30080,139.0
COMP20070,107.0
COMP10110,113.0
ENVB30110,83.0
Vacant,Vacant
COMP20010,108.0
Vacant,Vacant
Vacant,Vacant
MATH10200,96.0
COMP30070,84.0
Vacant,Vacant
COMP20110,103.0
COMP10110,113.0
COMP30220,38.0
Vacant,Vacant
Vacant,Vacant
